순번,분류,상호명,대표자명,소재지,특화거리,영업시간,휴무일,좌석수,홈페이지,업체소개,주차정보,화장실정보,해당여부,,,,,,,,,,,,,,좌표,,대표음식 해당여부,,,,,,,,,,,,,주변분류,판매 메뉴
,,,,,,,,,,,,,무슬림친화,채식여부,안심식당,모범업소,장애인시설,외국어가능,조식가능,예약가능,유아시설,1인식사,포장가능,배달가능,와이파이사용,상품권사용,경도,위도,과메기,대게,등푸른막회,회/물회,백숙,산채비빔밥,삼겹살,생선구이,아구찜,장어,조개구이,치킨,해신탕,,
331,,지호한방삼계탕 포항문덕점,허인숙,"경북 포항시 남구 오천읍 냉천로 392, 1층",,10:00~21:00,연중무휴,테이블 13개,,옆에 마련된 넓은 주차장과 세면이 유리로 되어있어 아늑하고 깨끗함.  엄선된 한방약재를 사용한 건강 보양식 삼계탕,10대,남녀구분,,,,,,,,,,,y,y,y,y,129.4066068,35.96008255,,,,,y,,,,,,,,,,"건강한방삼계탕, 미용한방삼계탕 , 죽한방삼계탕  , 들깨한방삼계탕, 녹두한방삼계탕 , 지호오징어 단호박찜닭 , 지호닭도리탕, 지호통오리훈제와 들깨수제비 , 지호천마오리보양탕, "
332,,지호한방삼계탕포항철강점,권혜인,"경북 포항시 남구 포스코대로 434, 1층 (해도동)",,09:30~21:00,연중무휴,테이블 23개,,"체인점이며 대형매장입니다
한방 약재로 만든 육수에 맛 또한 더해져 건강식 삼계탕집 입니다
사장님이 손님들한테 건강식을 내는것을 좋아해 항상 믿고 드실수 있는곳 입니다",10대 가능,남녀구분,,,,,,,,y,,y,y,y,y,y,129.3691413,36.01284803,,,,,y,,,,,,,,,,"건강한방삼계탕, 죽한방삼계탕, 얼큰한방삼계탕, 들깨한방삼계탕, 헛개한방삼계탕, "
333,한식,착한생오리,최정순,"경북 포항시 남구 효성로15번길 13-16, 1층 (효자동)",,17:00~23:00,매주 일요일,38석,,농장직송 생오리사용 신선한 요리제공,-,남녀남녀공용,,,,,,,,y,,,y,,y,y,129.3367951,36.00755356,,,,,,,,,,,,,,,"국내산생오리구이(1마리), 국내산생오리구이(반마리), 국내산생오리 주물럭(1마리), 국내산생오리주물럭(반마리), 국내산생오리주물럭(반마리), 능이버섯 오리한방백숙 1마리, 국내산 닭 도리탕(2인), 국내산 닭 도리탕(3인), 국내산 닭 도리탕(4인), 능이버섯 토종닭백숙 1마리, "
334,기타,과메기를 좋아하는 사람들 ,최형석,경북 포항시 남구 효성로 62 (효자동),,겨울 계절영업(13:00~01:00),무휴,48석,,"과메기 덕장 직영 운영점으로 특히 싱싱한 과메기를 생산 공급합니다.
전국 택배, 포장 퀵서비스도 가능합니다",건물뒷편 주차,남녀공용,,,,,,,,y,,,y,y,y,y,129.3403702,36.0058577,y,,,,,,,,,,,,,,"가자미구이, 과메기, 석화,생굴, 백고동,숙회, 문어숙회, "
335,한식,춘원식당,최영만,경북 포항시 북구 송라면 보경로 483,보경사건강마을,10:00~19:00,휴무 연중무휴,테이블 25개,,"우리 식당은 밑반찬(김치, 나물, 멸치볶음, 물김치 등)뿐만 아니라 모든 음식을 직접 손으로 만들어 손님상에 내어 놓습니다.
두부도 직접 농사를 지은 콩으로 만들어 구수하고 맛있습니다.
넓은 마당이 있으며 풍경이 아주 좋고 주차시설이 편리합니다.",보경사 공동 주차장,남녀구분,,,,y,,,,y,,,y,,,,129.3189391,36.24750635,,,,,y,y,,,,,,,,전망좋은맛집,"산채비빔밥, 손칼국수, 해물파전, 산더덕구이, 토종닭백숙, 도토리묵, 손두부, "
336,한식,칠포토종닭,곽기영,경북 포항시 북구 흥해읍 암각화길 1,,09:00~21:00,연중무휴,테이블 15개,,"닭 농장이 있어서 믿고 먹는 토종닭백숙 음식점
전복이 들어가 더욱 건강한 전복닭백숙 음식점
숲으로 둘러싸여 힐링할수 있는 음식점",소형주차장완비,남녀구분,,,,,,,,y,,,y,,,y,129.3845003,36.1324673,,,,,y,,,,,,,y,,,"전복토종닭백숙, 장어정식, 전복옻닭백숙, 닭도리탕, 전복오리백숙, 오리주물럭, "
337,한식,큰댁한방오리백숙,이순경,"경북 포항시 남구 해동로 20, 1층 (해도동)",,10:00~19:00,연중무휴,테이블 5개,,"건강식 위주로 판매하는 사장님의 생각으로 항상 요리에 신경을 쓰고 계십니다
몸에도 좋고 맛도 좋고 1석 이조인 가게입니다
2시간전에 예약주문으로 운영이 되고 있습니다",,남녀구분,,,,,,,,y,,,y,,,y,129.3741097,36.02119769,,,,,y,,,,,,,,,,"옻한방유황오리, 한방유황오리, 한방토종닭, 전복삼계탕, 한방삼계탕, "
338,정육식당,토담가든,하채정,경북 포항시 남구 구룡포읍 구룡포길57번길 94,,09:30~21:00,연중무휴,72석,,"프리미엄 오리구이. 옻나무 백숙 전문점
국내산 생오리를 옻나무와 함께 가마솥에 다린 후 구워 냅니다. 정성이 많이 들어간 만큼 오리구이는 손님들에게 많은 사랑을 받는 메뉴입니다.  잡내없이 깔끔한 맛에 찾으시는 단골손님이 많습니다. 건강에 좋고 맛도 좋은 옻나무 백숙도 저희 집의 주 요리이며 인기메뉴입니다.  김치부터 모든 반찬은 100%  국내산 재료로 저희가 직접 만듭니다.
모든 객실이 크고 작은 단체룸으로  완비되어 단체회식, 소모임, 가족모임하기에 좋습니다. 특히 기관이나 업체의 회식장소로 매우 인기가 높습니다.",20대,남녀구분,,,,y,,,,y,,,y,,y,y,129.5470532,35.99570304,,,,,y,,,,,,,,,,"오리불고기, 오리백숙/옻오리백숙, 오리로스구이, 닭백숙/옻닭백숙, 전복백숙, 닭볶음탕, 볶음밥, "
339,기타,푸른산장,서영순,경북 포항시 남구 오천읍 오어로154번길 19,,10:00~17:00,연중무휴,20석,, 오어사의 입구에위치한 이 자리에서 20년간 영업해옴. 고등어 추어탕이 입소문이 났음. 직접기른 채소로 밑반찬 대접,100대,"남녀공용, 장애우시설없음",,,,,,,,y,,y,y,,y,y,129.3837175,35.92784153,,,,,,,,,,,,,,,"잔치국수, 파전/도토리묵/오뎅탕, 메밀전병, 비빔국수, 아메리카노, 아이스커피, 녹차/매실차/유자차/핫초코, 국화차, 감식초/복숭아/오렌지쥬스, 솔잎차/대추차, 고등어추어탕, "
340,한식,한방누룽지백숙,구순희,"경북 포항시 북구 양덕남로 16, 1층 (장성동)",,10:00~21:00,매주일요일,테이블 9개,,"장성동에 위치한 한방 누룽지 백숙집입니다. 각종 한약재와 촌닭으로 깊은맛으로 유명하며
마지막엔 누룽지까지 깔끔하게 먹을수 있는 장성동의 맛집.
밑반찬도 다른 집에 비해 많이 나오니 드셔보세요~",5대정도가능,남녀공용,,,,,,,,,,,y,,y,y,129.3939838,36.07812237,,,,,y,,,,,,,,,,"오리백숙, 닭 백숙, 닭볶음, 오리주물럭, "
341,,한방삼계탕,장문희,경북 포항시 남구 오천읍 문덕로64번길 2 (국민드림빌7차101상가10호),,10:00~20:00,연중무휴,20석,,"일년내내 드실수 있는 국내산 한방재료(황기 ,엄나무, 오가피나무, 인삼, 대추, 마늘, 밤등)가 들어간 한방보양식 삼계탕입니다. 연한 닭고기와 고소한 죽이 만나 맛이 끝내 줍니다, 옻삼계탕은 옻독이 없으므로 누구나 드실 수 있습니다. ",주변도로,"남녀공용, 장애인시설없음",,,,,,,,y,,y,y,y,y,y,129.4026668,35.95742271,,,,,y,,,,,,,,,,"한방삼계탕, 옻삼계탕, 닭볶음탕, "
342,한정식,해맞이 삼계탕,변유정,경북 포항시 북구 법원로98번길 4 (장성동),,08:00~20:00,매주일요일,테이블 12개,,"직접 여러가지 재료들을 장을 보아서 당일 식재료들을 구해 육수를 우려낸 국물입니다
닭백숙과 오리백숙은 예약이 필수이며 시간이 오래걸리는 많큼 국물이 진하게 나와 영양과 보약 처럼 드실수 있습니다
단체예약도 가능한 곳으로 인원은 30명정도 받을수있습니다 ",3대,남녀공용,,,,,,,y,y,,,y,y,y,y,129.3859464,36.08344291,,,,,y,,,,,,,,,,"삼계탕, 제육정식, 닭백숙, 오리백숙, "
343,한식,행복한오리,민병훈,경북 포항시 북구 양덕동 1433 ,,10:00~22:00,"추석,설날 당일",테이블 24개,,오리슬라이스가 맛있어요.,승용차 10대,남녀구분,,,,,,,,y,y,,y,y,y,y,129.3973058,36.07713882,,,,,y,,y,,,,,,,,"행복오리A, 행복오리B, 생오리, 오리불고기, 오리훈제, 능이오리한방백숙, 능이황제오리백숙, "
344,한식,홍삼삼계탕,정동호,경북 포항시 남구 효자동길2번길 17 (효자동),,11:00~21:00,매주일요일,44석,,"홍삼과 전복을 넣은 특미 삼계탕
",주변도로,남녀공용,,,,,,,,,,,,,,,129.3319319,36.00828878,,,,,y,,,,,,,,,,"홍삼삼계탕, 홍삼전복삼계탕, 홍삼전복들깨삼계탕, "
345,,"황금상황버섯삼계탕,오리",손언철,"경북 포항시 남구 오천읍 냉천로 260, 1층",,11:00~20:00,연중무휴,100석,,직접 담아온 약수물로 항암에 좋은 상황버섯과 여러가지 엄선된 재료를 넣어 걸쭉하고 맛있는 다른곳과는 차별화된 삼계탕을 만듭니다.,있음,남녀구분,,,,,,,,y,,,y,,y,y,129.4094045,35.97130867,,,,,y,,,,,,,,,,"약수삼계탕, 한방삼계탕, 들깨삼계탕, 흑마늘삼계탕, 오리한방백숙(1시간전 예약필수), 능이오리한방백숙(예약필수), 오리불고기, 볶음밥, "
346,한식,88 식당,김정옥,경북 포항시 북구 송라면 보경로 451,보경사건강마을,09:00~19:00,휴무 연중무휴,테이블 13개,,"저희 식당은 산채비빔밥과 산더덕 정식을 전문으로 하고 있으며 손님들도 음식을 드시고 다들 만족해 하십니다.
손두부도 직접 재배한 콩으로 만들기 때문에 믿을 수 있을 뿐만 아니라 맛 또한 고소합니다.
앞으로 다른 음식도 맛나게 드시고 갈 수 있도록 음식개발에 늘 노력하겠습니다.",보경사 공동 주차장,남녀구분,,,,,,,,y,,,y,,,,129.3200654,36.24480158,,,,,,y,,,,,,,,전망좋은맛집,"더덕구이, 도토리전, 손두부김치, 즉석솥밥한정식, 산채비빔밥, 칼국수, 능이오리백숙, 능이닭백숙, 버섯전골, "
347,한식,고향식당,이상구,경북 포항시 북구 송라면 보경로 451-14,보경사건강마을,12:00~19:00,휴무 연중무휴,테이블 13개,,"우리 식당은 사제음식으로 장사하는 게 아니라 제가 모든 반찬을 직접 만들어서 사용합니다.
특히 장아찌는 산에 가서 직접 채취하여 만들어서 제공하고 있습니다.
메뉴는 능이백숙, 오리, 닭, 비빔밥, 칼국수 등이며 잡수어 보시면 절대로 후회하지 않으시리라 장담합니다.
한번 오신 손님은 꼭 다시 찾아 주시며 홍보가 따로 없습니다. 한번 오신 손님이 우리 식당의 홍보부장이니까요.",승용차 20대,남녀구분,,,,,,,,y,,,y,,,,129.3197783,36.24488085,,,,,,y,,,,,,,,전망좋은맛집,"능이옻백숙, 능이버섯백숙, 오리백숙, 오리불고기, 더덕정식, 비빔밥, 칼국수, 도토리묵, 호박전, "
348,한식,나드리식당,함은희,"경북 포항시 북구 송라면 보경로 40, 1층",,06:00~19:00,휴무 연중무휴,테이블 10개,,"우리 식당은 골프를 치고 오는 손님을 위해 오전 6시부터 식사가 가능합니다. 가정식으로 운영하고 있으며 오후 메뉴는 매일 바뀌는 식당입니다.
소고기 국밥, 미꾸라지추어탕, 미역국, 동태찌개등 매일 다른 메뉴가 나갑니다. 한마디로 사장님 마음입니다.
가격은 동일하게 7000원이며 저녁 메뉴에 조개 아구탕을 하고 있으며 조개 아구탕만 가격이 10,000원입니다.",주차 공간  ,남녀구분,,,,,,,,,,,,,,,129.3583337,36.22837402,,,,,,y,,,,,,,,,"된장정식, 소고기국밥, 미꾸라지 추어탕, 동태찌개, 조개 아구탕, "
349,한식,내연산식당,최기영,경북 포항시 북구 송라면 보경로 465,보경사건강마을,09:00~20:00,휴무 연중무휴,테이블 44개,,"외길인생 50년. 오로지 손님에게 맛있는 식사를 대접할 수 있다는 그 마음 하나로 지금까지 음식을 만들었습니다.
우리 식당은 모든 메뉴마다 특미참가자미조림과 부지갱이산나물이 나가며 여러가지 과일을 갈아서 만든 물김치는 그 맛이 끝내줍니다.
한번도 안 온 손님은 있어도 한번 온 손님은 없습니다.",보경사 공동 주차장,남녀구분,,,,,,,,,,,,,,,129.3193336,36.24572207,,,,,,y,,,,,,,,,"토종닭백숙, 산채비빔밥, 산채정식, 손칼국수, 더덕구이, 도토리묵무침, 해물야채전, 호박전, "
350,한식,동백식당,박미자,경북 포항시 북구 송라면 보경로 455,보경사건강마을,08:00~20:00,휴무 연중무휴,테이블 20개,,"보경사 초입에 위치한 저희 동백식당은 관광객들의 먹거리를 위해 열과 성의를 다하여 열심히 음식 개발에 박차를 가하고 있습니다.
시골 토종닭 백숙과 산채 음식이 주를 이루고 있으며, 손수 만든 손두부와 손칼국수는 대표적인 메뉴라 할 수 있습니다.
최선을 다해 고객 여러분의 입맛에 맞도록 노력하겠습니다.",보경사 공동 주차장,남녀공용,,,,,,,,y,,,y,,,,129.3199488,36.24497422,,,,,,y,,,,,,,,전망좋은맛집,"한방토종닭백숙, 한방오리백숙, 산채비빔밥, 우리콩순두부, 손칼국수, 된장찌개, 더덕구이, 해물파전, "
351,한식,등산식당,이상균,경북 포항시 북구 송라면 보경로 465-1,보경사건강마을,09:00~19:00,휴무 연중무휴,테이블 20개,,"우리 식당의 음식에 쓰이는 모든 채소는 직접 농사를 지어 사용하므로 안심하고 드실 수 있으며 두부도 직접 심은 콩으로 만듭니다.
백숙과 두부버섯전골, 더덕구이가 가장 인기가 많으며 더덕구이는 다른 식당과 달리 더덕을 돌판에 넣어 구워 나옵니다.",보경사 공동 주차장,남녀공용,,,,,,,,y,,,y,,,,129.3192895,36.24580212,,,,,,y,,,,,,,,,"자연산송이/능이백숙, 한방 옻백숙, 더덕구이정식, 두부버섯전골, 산채비빔밥, 손칼국수, 산채정식, 야채부침, 국산콩 순두부, "
352,한식,문수봉가든,김상진,"경북 포항시 북구 송라면 보경로 471, 1층",보경사건강마을,09:00~20:00,휴무 연중무휴,테이블 50개,,"음식점은 맛도 중요하지만 분위기도 중요하다고 생각합니다. 저희 식당은 야외테이블이 넓게 있어서 분위기가 좋을뿐만 아니라 코로나에 대한 염려를 조금이나마 덜 수 있다는 장점이 있습니다.
음식 또한 다른 식당과 비교해도 부족하지 않다는 나름의 자부심을 가지고 영업하고 있습니다.
사장님의 따뜻한 미소와 친절은 덤입니다!",보경사 공동 주차장,남녀구분,,,,,,,,y,,,,,,,129.3191615,36.24634104,,,,,,y,,,,,,,,,"옻닭백숙, 오리불고기, 산더덕정식, 도토리묵무침, 산채비빔밥, 손칼국수, 해물파전, 호박전, "
353,한식,백두봉가든,김진태,경북 포항시 북구 송라면 보경로 468,보경사건강마을,09:00~18:00,휴무 연중무휴,테이블 16개,,"보경사에서 3대째 음식점을 운영하고 있습니다. 
모든 음식이 맛있으며 주인장이 직접 농사지은 콩으로 만든 손두부를 서비스합니다. 
비빔밥에는 구수한 된장찌개가 포함되어 나옵니다.",보경사 공동 주차장,남녀구분,,,,,,,,y,,,,,,,129.3194766,36.2460013,,,,,,y,,,,,,,,,"옻닭, 한방오리백숙, 산채비빔밥, 손칼국수, 더덕구이정식, 산채정식, 버섯전골, 도토리묵, 해물파전, "
354,,백세인생,구인선,경북 포항시 북구 송라면 보경로 459,보경사건강마을,10:00~17:00,휴무 연중무휴,테이블 19개,,"항상 정성을 다해 모시고 있습니다. 산채 나물과 더덕구이가 인기메뉴이며 요즘 새로이 청국장도 하고 있어요.
아주 맛나고 구수하게 끓여 드려요. 생선구이도 함께 나갑니다.
관광지 오시면 보실 수 있는 음식 호박전, 야채전, 산채비빔밥, 손칼국수 등 다양한 메뉴를 만들어 준비해 두었으니 포항 오시면 한번 들러 맛나게 드시고 가세요.",보경사 공동 주차장,남녀구분,,,,,,,,y,,,y,,,,129.3196715,36.24528349,,,,,,y,,,,,,,,전망좋은맛집,"토종닭백숙, 오리불고기, 오불정식, 더덕정식, 더덕구이, 산채비빔밥, 손칼국수, 도토리묵, 야채전, 호박전, "
355,한식,보경식당,이의칠,경북 포항시 북구 송라면 보경로 463,보경사건강마을,09:00~18:30,휴무 연중무휴,테이블 18개,,"30년이 넘는 긴 세월을 오로지 음식만 생각하며 살았습니다.  음식 맛 하나는 자부심을 가지며 운영하고 있습니다.
산채비빔밥과 백숙 전문집으로서 전통방식 그대로 운영하고 있습니다.
늘 변함없는 마음으로 손님을 대하겠습니다. ",보경사 공동 주차장,남녀구분,,,,,,,,,,,,,,,129.3194658,36.24550687,,,,,,y,,,,,,,,,"토종닭백숙, 옻닭백숙, 산채비빔밥, 손칼국수, 더덕구이, 도토리묵, 호박전, 야채전, "
356,한식,부산식당,정석건,"경북 포항시 북구 송라면 보경로 457, 1층",보경사건강마을,10:00~19:00,휴무 연중무휴,테이블 20개,,"솥밥전문집으로서 비빔밥에 공기밥대신 솥밥이 나옵니다.
직접 만든 도토리묵과 우리콩 손두부는 그 맛이 정말 최고입니다.
토종닭백숙과 오리백숙, 오리불고기 또한 정말 맛있습니다. 닭, 오리는 모두 경주 인근 친환경에서 키우는 토종닭만 사용합니다.
단체석 완비는 기본이며 25인승 미니버스도 항시 대기하고 있으니 예약전화 주시면 언제든지 달려갑니다. ",보경사 공동 주차장,남녀구분,,,,,,,,y,,,y,,,,129.3198233,36.24508495,,,,,,y,,,,,,,,전망좋은맛집,"옻닭백숙, 토종닭백숙, 오리백숙, 산채비빔+솥밥, 더덕구이, 손두부, 호박전,야채전, "
